zyshih           18856   0.0  0.2 1509206368  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18826   0.0  0.2 1509206720  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18795   0.0  0.2 1509206304  27056 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18765   0.0  0.2 1509206544  27088 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18735   0.0  0.2 1509206128  27088 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18705   0.0  0.2 1509206416  27056 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18675   0.0  0.2 1509206656  27056 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18645   0.0  0.2 1509205920  27056 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18615   0.0  0.2 1509206800  27104 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18585   0.0  0.2 1509206192  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18555   0.0  0.2 1509206480  27120 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18524   0.0  0.2 1509206624  27056 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18494   0.0  0.2 1509206384  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18464   0.0  0.2 1509206288  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
